"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 09 22:42:18 GMT 2023","Sat Sep 09 22:42:25 GMT 2023","6988","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-03 - User should see ""Translate instead"" autocorrection option for text with a typo",""
"passed","Sat Sep 09 22:42:25 GMT 2023","Sat Sep 09 22:42:32 GMT 2023","7664","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-04 - User should see ""Translate from"" tooltip after after entering text",""
"passed","Sat Sep 09 22:42:40 GMT 2023","Sat Sep 09 22:42:49 GMT 2023","8392","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-06 - User should see ""Translate instead"" and ""Showing translation for"" tooltips after after entering text",""
"passed","Sat Sep 09 22:43:03 GMT 2023","Sat Sep 09 22:43:03 GMT 2023","27","","Google Translate | Text Translate Regression Tests","","","","""after all"" hook",""
"passed","Sat Sep 09 22:42:32 GMT 2023","Sat Sep 09 22:42:40 GMT 2023","8000","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-05 - User should see ""Translate from"" and ""Showing translation for"" tooltips after after entering text",""
"passed","Sat Sep 09 22:42:12 GMT 2023","Sat Sep 09 22:42:18 GMT 2023","5934","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-02 - User should see ""Showing translation for"" autocorrection option for text with a typo",""
"passed","Sat Sep 09 22:42:54 GMT 2023","Sat Sep 09 22:43:03 GMT 2023","8849","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-08 - User should be able to use redirect button after inserting link",""
"passed","Sat Sep 09 22:42:03 GMT 2023","Sat Sep 09 22:42:05 GMT 2023","1712","","Google Translate | Text Translate Regression Tests","","","","""before all"" hook",""
"passed","Sat Sep 09 22:42:49 GMT 2023","Sat Sep 09 22:42:54 GMT 2023","5016","","Google Translate | Text Translate Regression Tests","","","","Text-Transalate-Regression-07 - User should not be able select same languages in Source/Target fields",""
"passed","Sat Sep 09 22:42:05 GMT 2023","Sat Sep 09 22:42:12 GMT 2023","6675","","Google Translate | Text Translate Regression Tests: Google Translate | Text Translate Regression | Text Translate Autocorrect Tests","","","","Text-Autocorrect-Regression-01 - User should see ""Did you mean"" autocorrection option for text with a typo",""
